day_of_demand,sku,Daily_Demand,is_promotion
2024-01-01,SKU_1,81,1
2024-01-02,SKU_1,79,0
2024-01-03,SKU_1,126,1
2024-01-04,SKU_1,105,0
2024-01-05,SKU_1,102,0
2024-01-06,SKU_1,112,0
2024-01-07,SKU_1,109,1
2024-01-08,SKU_1,101,1
2024-01-09,SKU_1,122,1
2024-01-10,SKU_1,132,1
2024-01-11,SKU_1,115,0
2024-01-12,SKU_1,105,1
2024-01-13,SKU_1,125,1
2024-01-14,SKU_1,113,0
2024-01-15,SKU_1,97,1
2024-01-16,SKU_1,131,1
2024-01-17,SKU_1,121,1
2024-01-18,SKU_1,118,0
2024-01-19,SKU_1,130,1
2024-01-20,SKU_1,115,0
2024-01-21,SKU_1,130,0
2024-01-22,SKU_1,110,0
2024-01-23,SKU_1,131,1
2024-01-24,SKU_1,118,1
2024-01-25,SKU_1,104,0
2024-01-26,SKU_1,129,0
2024-01-27,SKU_1,116,0
2024-01-28,SKU_1,115,0
2024-01-29,SKU_1,125,0
2024-01-30,SKU_1,123,0
2024-01-31,SKU_1,109,0
2024-02-01,SKU_1,141,0
2024-02-02,SKU_1,121,0
2024-02-03,SKU_1,114,1
2024-02-04,SKU_1,118,1
2024-02-05,SKU_1,131,0
2024-02-06,SKU_1,120,0
2024-02-07,SKU_1,134,0
2024-02-08,SKU_1,133,0
2024-02-09,SKU_1,120,0
2024-02-10,SKU_1,124,0
2024-02-11,SKU_1,132,0
2024-02-12,SKU_1,142,1
2024-02-13,SKU_1,167,1
2024-02-14,SKU_1,130,0
2024-02-15,SKU_1,140,1
2024-02-16,SKU_1,131,1
2024-02-17,SKU_1,127,1
2024-02-18,SKU_1,126,1
2024-02-19,SKU_1,136,0
2024-02-20,SKU_1,127,0
2024-02-21,SKU_1,132,0
2024-02-22,SKU_1,152,1
2024-02-23,SKU_1,150,0
2024-02-24,SKU_1,136,0
2024-02-25,SKU_1,139,0
2024-02-26,SKU_1,136,0
2024-02-27,SKU_1,136,0
2024-02-28,SKU_1,136,0
2024-02-29,SKU_1,156,0
2024-03-01,SKU_1,138,1
2024-03-02,SKU_1,143,1
2024-03-03,SKU_1,143,1
2024-03-04,SKU_1,135,0
2024-03-05,SKU_1,148,0
