sku,Avg_Daily_Demand,Std_Dev_Daily_Demand,Historical_Days,Lead_Time_Days,Unit_Cost,Safety_Stock,Reorder_Point_ROP,Cost_of_Safety_Stock
SKU_1,99.68075117370893,36.26697982804981,213,8.200000000000001,11.562000000000005,171,989,1975.05202
SKU_10,98.59708737864078,36.86108121784313,206,10.200000000000008,13.773999999999988,194,1200,2667.199439509928
SKU_11,95.4375,36.40268527415362,208,5.200000000000007,15.288000000000013,137,633,2087.4353007730933
SKU_12,96.19090909090909,36.40876392428037,220,7,11.762000000000008,159,832,1863.6458509347253
SKU_13,96.08878504672897,35.78622712773849,214,10.199999999999998,14.397999999999968,188,1169,2706.7330502890154
SKU_14,95.52261306532664,35.83418944,199,8.800000000000002,9.973999999999991,175,1016,1743.9560743009251
SKU_15,96.21739130434783,36.07059613908185,230,9.400000000000029,12.661999999999988,182,1087,2303.280404284593
SKU_16,95.32870370370371,37.64767277387204,216,7.400000000000013,12.576,169,874,2118.4771322453203
SKU_17,98.30973451327434,37.300719003142895,226,7.799999999999997,12.94600000000004,172,939,2218.3361887280607
SKU_18,100.235,39.89924213081075,200,7.9999999999999964,12.07200000000001,186,988,2240.867219499063
SKU_19,100.42288557213931,35.118731093703246,201,6.200000000000001,12.103999999999983,144,767,1740.9681747237976
SKU_2,96.22857142857143,36.881228519236906,210,10.200000000000037,12.721999999999984,194,1176,2464.836479787396
SKU_20,95.84653465346534,38.10565585096425,202,5.000000000000009,12.743999999999977,141,620,1786.1069590938148
SKU_21,95.72058823529412,36.996276841661874,204,8.799999999999986,11.874000000000002,181,1023,2143.500840068502
SKU_22,98.47179487179487,37.319227160191794,195,5.999999999999996,14.537999999999991,151,742,2185.9498185944008
SKU_23,98.86425339366515,36.69703527793553,221,8.400000000000006,13.728000000000002,175,1006,2401.6247453796454
SKU_24,97.4978355,37.37598327441489,231,7.399999999999992,10.159999999999997,168,889,1699.1411247592407
SKU_25,97.39069767,34.51514508393643,215,6.199999999999998,9.255999999999986,142,746,1308.4470451330048
SKU_26,94.66153846153846,37.83589507840171,195,7.8,12.047999999999988,174,913,2094.0812559819005
SKU_27,95.99086757990868,35.958435596230444,219,4.9999999999999964,12.619999999999989,133,613,1669.0617441431777
SKU_28,99,36.55159682926629,209,7.399999999999997,11.269999999999987,164,897,1843.2039287436246
SKU_29,96.08372093023256,37.75737181368558,215,9.400000000000004,14.212000000000026,191,1094,2706.1267796404563
SKU_3,97.68965517,37.68823701483589,203,10.6,11.283999999999988,202,1238,2277.451249476756
SKU_30,100.51980198019803,36.29566404,202,5.600000000000003,11.019999999999992,142,705,1556.8888599164598
SKU_31,96.02857142857142,35.53055350538716,210,5.800000000000006,14.810000000000022,141,698,2084.482652580607
SKU_32,97.83255813953488,36.72415310113273,215,5.000000000000012,14.166000000000013,136,625,1913.424302679373
SKU_33,98.61083743842364,36.22060133648274,203,7.799999999999997,11.914000000000003,167,936,1982.3841200703002
SKU_34,98.39130435,36.97370518997093,207,5.600000000000001,7.861999999999978,144,695,1131.4810474604358
SKU_35,97.11162790697675,35.46838271716351,215,6.799999999999977,11.459999999999996,153,813,1743.442854053952
SKU_36,95.20560747663552,37.083648198548985,214,11.40000000000002,10.266000000000014,206,1292,2114.2843482730996
SKU_37,96.57077625570776,37.665211175312734,219,7.200000000000002,13.446000000000002,167,862,2235.2547098072378
SKU_38,95.74107142857143,36.35296461796553,224,11.199999999999982,18.754000000000016,201,1273,3752.9261076352955
SKU_39,100.6875,36.96259926458928,224,7.400000000000008,11.37199999999996,166,911,1880.7993738314456
SKU_4,97.98684210526316,36.54512391022537,228,10.2,13.715999999999994,192,1192,2633.202494644477
SKU_40,98.50884955752213,37.91431757123976,226,7.199999999999999,15.63200000000001,168,877,2615.8407126717175
SKU_41,98.13122171945702,38.38614774831099,221,11.200000000000006,9.534,212,1311,2014.5866249097605
SKU_42,99.61111111111111,37.28091558246212,216,8.399999999999999,10.163999999999994,178,1015,1806.4174748369846
SKU_43,96.58723404255319,36.31644877625695,235,10.400000000000007,12.094,193,1198,2329.7926182950855
SKU_44,100.02912621359224,38.50814454509519,206,7.600000000000009,7.564000000000006,175,935,1320.8033641676157
SKU_45,98.91162790697675,35.99463361678647,215,6,11.452000000000004,146,739,1660.8177535558043
SKU_46,95.25118483412322,37.30132687565847,211,8.400000000000006,14.554000000000016,178,978,2588.055295802532
SKU_47,98.94339622641509,36.43310566519115,212,8.599999999999982,9.612,176,1027,1689.2208680392805
SKU_48,97.42180095,39.90843446569974,211,8.799999999999994,15.186000000000002,195,1053,2957.1726436777967
SKU_49,95.57894736842105,37.461066158517085,209,8.400000000000002,10.618000000000004,179,982,1896.2245031341376
SKU_5,96.26244343891403,36.18605823195041,221,8.200000000000001,10.341999999999988,171,960,1762.7064520231884
SKU_50,95.88288288288288,36.067994796841035,222,8.999999999999998,11.996000000000008,178,1041,2135.0446752395283
SKU_6,98.06103286384976,34.69246333334816,213,9.399999999999988,12.076000000000006,175,1097,2112.7563997362445
SKU_7,95.78606965,37.39931824211675,201,4.599999999999996,10.865999999999996,132,573,1433.6381812501395
SKU_8,97.53883495145631,37.29468603488864,206,7.799999999999998,13.125999999999994,172,933,2248.8159529014424
SKU_9,93.60185185185185,36.450907364803506,216,10.600000000000003,10.989999999999988,196,1188,2145.2910723287587
